rank,name,points,confederation
1,Spain,1877.18,UEFA
2,Argentina,1873.33,CONMEBOL
3,France,1870.0,UEFA
4,England,1834.12,UEFA
5,Brazil,1760.46,CONMEBOL
6,Portugal,1760.38,UEFA
7,Netherlands,1756.27,UEFA
8,Belgium,1730.71,UEFA
9,Germany,1724.15,UEFA
10,Croatia,1716.88,UEFA
11,Morocco,1713.12,CAF
12,Italy,1702.06,UEFA
13,Colombia,1701.3,CONMEBOL
14,USA,1681.88,CONCACAF
15,Mexico,1675.75,CONCACAF
16,Uruguay,1672.62,CONMEBOL
17,Switzerland,1654.69,UEFA
18,Japan,1650.12,AFC
19,Senegal,1648.07,CAF
20,IR Iran,1617.02,AFC
21,Denmark,1616.75,UEFA
22,Korea Republic,1599.45,AFC
23,Ecuador,1591.73,CONMEBOL
24,Austria,1585.51,UEFA
25,Türkiye,1582.69,UEFA
26,Australia,1574.01,AFC
27,Canada,1559.15,CONCACAF
28,Ukraine,1557.47,UEFA
29,Norway,1553.14,UEFA
30,Panama,1540.43,CONCACAF
31,Poland,1532.04,UEFA
32,Wales,1529.71,UEFA
33,Russia,1524.52,UEFA
34,Egypt,1520.68,CAF
35,Algeria,1516.37,CAF
36,Scotland,1506.77,UEFA
37,Serbia,1506.34,UEFA
38,Nigeria,1502.46,CAF
39,Paraguay,1501.5,CONMEBOL
40,Tunisia,1497.13,CAF
41,Hungary,1496.29,UEFA
42,Côte d'Ivoire,1489.59,CAF
43,Sweden,1487.13,UEFA
44,Czechia,1487.0,UEFA
45,Slovakia,1485.65,UEFA
46,Greece,1480.38,UEFA
47,Romania,1465.78,UEFA
48,Venezuela,1465.22,CONMEBOL
49,Costa Rica,1464.24,CONCACAF
50,Uzbekistan,1462.03,AFC
51,Qatar,1461.6,AFC
52,Peru,1459.57,CONMEBOL
53,Chile,1457.84,CONMEBOL
54,Mali,1455.03,CAF
55,Slovenia,1447.31,UEFA
56,Congo DR,1442.5,CAF
57,Cameroon,1440.43,CAF
58,Iraq,1438.92,AFC
59,Republic of Ireland,1436.04,UEFA
60,Saudi Arabia,1428.74,AFC
61,South Africa,1426.73,CAF
62,Burkina Faso,1404.81,CAF
63,Albania,1401.07,UEFA
64,Honduras,1379.54,CONCACAF
65,North Macedonia,1378.57,UEFA
66,Jordan,1377.66,AFC
67,United Arab Emirates,1369.71,AFC
68,Cabo Verde,1367.95,CAF
69,Northern Ireland,1366.02,UEFA
70,Jamaica,1362.46,CONCACAF
71,Bosnia and Herzegovina,1362.37,UEFA
72,Ghana,1351.09,CAF
73,Georgia,1347.88,UEFA
74,Iceland,1344.72,UEFA
75,Finland,1341.81,UEFA
76,Bolivia,1329.56,CONMEBOL
77,Israel,1328.14,UEFA
78,Gabon,1321.25,CAF
79,Oman,1312.45,AFC
80,Kosovo,1308.84,UEFA
